detail_id,order_id,product_id,quantity,discount,sales_amount
107,6733,889,2,0,37984.0
108,6267,316,4,6,187199.12
109,8150,145,3,9,81938.22
110,5888,469,4,10,282636.0
111,1365,697,5,5,178020.5
112,1265,540,5,8,202505.8
113,4772,458,3,16,69194.16
114,4904,115,2,27,108597.72
115,1615,148,4,29,192716.72
116,7238,952,4,21,47665.44
117,2463,224,1,17,64780.67
118,2633,324,5,12,246672.8
119,1105,649,3,22,96761.34
120,1441,563,3,26,75517.74
121,2726,409,3,28,18193.68
122,7588,956,1,24,11767.08
123,6598,546,2,26,88566.16
124,8545,214,3,21,17895.87
125,6459,671,4,17,194711.36
126,9058,373,1,13,41384.16
127,5685,500,2,1,26078.58
128,635,724,2,21,121549.4
129,9199,422,4,2,164071.6
130,6967,233,4,10,156531.6
131,7581,572,5,2,129869.6
132,5369,996,3,21,83258.1
133,6859,210,3,15,65379.45
134,7487,54,2,1,91351.26
135,4612,148,4,23,209002.64
136,7325,145,1,16,25211.76
137,4841,517,5,2,290692.5
138,7357,264,5,22,251990.7
139,626,797,3,11,152502.39
140,7343,425,5,30,105696.5
141,8303,218,3,24,111818.04
142,2899,403,4,24,851.2
143,4457,670,4,2,44754.64
144,1870,827,2,14,23925.2
145,2694,343,2,30,31666.6
146,8442,433,4,6,199189.76
147,867,531,4,10,55270.8
148,2719,216,2,25,6423.0
149,2486,534,2,28,112263.84
150,1483,488,5,9,50404.9
151,4867,439,4,27,196282.4
152,5081,870,5,14,243233.8
153,8208,952,1,0,15084.0
154,4768,608,2,5,72619.9
155,384,608,3,9,104343.33
156,8620,846,5,16,154513.8
157,5280,851,2,17,131729.3
158,2413,847,2,24,74463.28
159,9677,871,2,24,91335.28
160,4120,759,5,3,307407.55
161,2643,878,3,30,150811.5
162,5794,198,2,21,102083.8
163,6731,795,1,2,27584.06
164,5604,27,1,12,47997.84
165,8269,154,1,19,23714.37
166,8244,113,5,23,178655.4
167,4305,887,2,26,17921.32
168,6983,202,3,1,152179.83
169,3613,804,1,18,53700.98
170,8800,624,5,28,39798.0
171,9360,247,3,5,144044.7
172,1101,732,4,29,48617.96
173,7118,527,1,22,6302.4
174,4123,396,1,9,13872.95
175,3128,106,1,29,364.94
176,5146,603,2,23,31643.92
177,7042,254,1,29,53538.26
178,7960,782,1,17,26778.29
179,3480,579,5,18,113168.2
180,6803,799,5,12,170297.6
181,7460,622,4,26,63838.32
182,7606,501,3,9,145326.09
183,1735,227,5,9,85826.65
184,2695,472,1,1,28629.81
185,9614,173,2,20,86696.0
186,7181,818,1,26,53138.66
187,4286,423,5,18,91056.9
188,8543,194,1,15,578.0
189,5520,103,2,15,5055.8
190,7512,586,4,16,86933.28
191,3759,181,4,1,196194.24
192,8807,922,1,25,24713.25
193,9172,714,1,22,36408.84
194,2140,38,3,0,155250.0
195,6795,146,4,9,56780.36
196,3700,82,4,23,175181.16
197,1094,885,1,0,58315.0
198,5454,196,2,16,54620.16
199,7213,805,4,15,268413.0
200,2578,339,3,20,82161.6
201,7887,169,2,0,155432.0
202,5490,140,4,9,172011.84
203,6875,508,1,17,40890.78
204,1775,690,1,25,47957.25
205,4116,301,5,4,167251.2
206,1,444,4,29,55345.92
207,8453,646,3,3,185355.36
208,8262,680,4,24,22991.52
209,6289,59,4,1,277524.72
210,2929,81,1,26,56882.32
211,4292,865,2,6,115289.12
212,670,808,3,22,126128.34
213,4383,77,1,26,4258.7
214,7847,278,1,28,57458.16
215,9365,270,2,29,22602.14
216,582,186,5,0,206200.0
217,2782,943,5,6,142701.4
218,8059,463,4,21,132410.32
219,4016,637,2,15,24673.8
220,3588,218,1,6,46100.42
221,9504,421,4,29,171521.8
222,7881,995,4,12,63416.32
223,2420,134,1,15,12918.3
224,1206,548,5,19,280458.45
225,4395,455,2,26,71315.28
226,5849,231,1,0,67383.0
227,8301,592,1,24,15681.84
228,364,228,3,14,141752.94
229,9229,536,5,27,127771.9
230,6851,991,2,30,32061.4
231,7879,5,4,19,160966.44
232,8042,991,4,10,82443.6
233,4574,933,5,2,390118.4
234,440,902,4,18,28867.28
235,2265,541,1,17,51333.01
236,6569,759,2,1,125498.34
237,2836,408,1,10,34825.5
238,1740,854,2,20,81648.0
239,9220,835,5,28,276285.6
240,7832,218,5,29,174102.65
241,6469,669,4,27,29150.36
242,864,384,1,29,15287.01
243,6189,774,4,1,34828.2
244,3230,984,4,9,78354.64
245,2364,644,3,15,108780.45
246,2266,603,1,15,17465.8
247,5236,562,5,13,206237.85
248,8277,284,5,8,94502.4
249,9901,686,1,29,11235.04
250,2206,556,4,18,138176.56
251,2824,1,5,24,143640.0
252,6613,537,1,25,31138.5
253,8237,421,5,9,274797.25
254,4595,669,2,6,18768.04
255,4173,940,5,18,19339.7
256,4708,792,2,4,100976.64
257,385,278,4,22,248985.36
258,3396,207,2,19,116269.02
259,370,259,4,17,108261.88
260,8025,320,1,12,18212.48
261,4611,176,4,11,90658.96
262,12,472,5,21,114230.05
263,8802,825,2,1,23164.02
264,2165,507,3,13,24951.6
265,4082,262,2,15,70023.0
266,5230,776,5,27,265274.7
267,219,650,5,12,216088.4
268,1310,406,5,9,99426.6
269,9610,744,3,2,229837.44
270,7571,386,1,23,33002.2
271,6912,655,4,8,241459.52
272,9430,606,4,19,113124.6
273,4121,672,5,23,225844.85
274,3023,798,4,24,235061.92
275,6696,473,3,9,209169.87
276,3202,455,5,9,219246.3
277,2785,500,1,12,11590.48
278,5770,953,1,1,50295.96
279,17,869,4,25,126249.0
280,516,711,5,0,375750.0
281,1275,169,2,12,136780.16
282,3631,235,1,15,56991.65
283,656,535,2,24,111002.56
284,3498,271,1,6,2682.76
285,8509,694,2,5,143600.1
286,293,235,2,14,115324.28
287,6908,659,4,21,66205.16
288,2738,494,5,27,57994.85
289,6940,158,5,11,325877.95
290,6766,248,5,16,196702.8
291,791,63,1,2,17689.0
292,3179,683,1,14,46311.0
293,8605,58,2,16,104820.24
294,9124,887,4,2,47467.28
295,6916,831,2,13,7866.54
296,3836,373,3,11,127006.56
297,9812,484,5,24,145695.8
298,3597,579,2,8,50787.68
299,718,243,3,30,128469.6
300,6,287,2,30,29444.8
301,2473,497,2,15,65096.4
302,9371,120,5,2,355078.5
303,5959,841,5,29,185739.55
304,6107,449,1,26,526.88
305,2446,931,3,26,87412.5
306,9287,445,3,26,36328.08
307,54,883,3,28,3693.6
308,9121,535,2,8,134371.52
309,2011,141,2,22,58627.92
310,4840,392,5,12,296375.2
311,496,53,3,25,42657.75
312,7846,94,4,4,57127.68
313,6713,445,2,0,32728.0
314,1043,987,1,30,51451.4
315,5974,338,3,26,11048.94
316,2076,219,4,23,147830.76
317,4622,392,3,12,177825.12
318,9652,383,4,27,125008.12
319,7152,921,5,13,224112.0
320,9380,980,2,17,111278.1
321,9488,729,4,23,176416.24
322,2637,664,1,11,14222.2
323,5556,872,5,17,267380.35
324,2682,320,5,26,76575.2
325,806,652,4,5,116204.0
326,5571,638,2,9,136853.08
327,1797,944,1,18,59295.84
328,3467,545,4,25,21114.0
329,4496,664,3,30,33558.0
330,3665,678,2,6,116204.68
331,4971,315,3,12,7634.88
332,5652,579,3,3,80321.82
333,2201,264,5,9,293989.15
334,2400,99,3,0,102525.0
335,9865,837,3,20,5376.0
336,8975,589,2,8,123022.4
337,6960,648,4,4,112584.96
338,4963,135,2,19,92312.46
339,6046,664,3,5,45543.0
340,2403,711,5,0,375750.0
341,5356,199,2,6,70706.8
342,5814,393,3,21,47793.42
343,9482,20,2,1,155041.92
344,60,452,1,3,76600.9
345,7509,267,5,1,378689.85
346,6442,707,3,23,119704.2
347,8699,408,5,26,143171.5
348,2975,652,5,0,152900.0
349,9505,827,1,15,11823.5
350,379,413,2,23,14349.72
351,2001,617,1,6,51923.72
352,6145,941,4,10,216723.6
353,3668,960,5,0,108685.0
354,6947,206,2,18,90268.88
355,5610,443,5,8,60135.8
356,8096,734,1,0,45513.0
357,4434,262,2,29,58489.8
358,5090,652,5,25,114675.0
359,741,642,4,15,124079.6
360,6158,342,2,8,129451.36
361,4996,146,2,17,25894.34
362,7993,184,3,9,65479.05
363,4643,593,2,15,46581.7
364,6109,118,1,28,16261.2
365,4878,4,1,2,26037.62
366,2558,616,1,11,8775.4
367,5908,266,3,4,66228.48
368,7596,401,1,3,46546.42
369,2938,135,2,13,99150.42
370,6637,238,4,15,138794.8
371,5312,787,2,12,38943.52
372,5508,730,3,19,110040.12
373,2370,764,4,3,174289.6
374,8175,942,1,7,32368.65
375,4636,856,4,13,157978.08
376,7838,385,1,16,37432.92
377,7404,938,5,1,247801.95
378,6052,547,3,22,20505.42
379,7939,177,5,10,118003.5
380,7353,783,4,22,203807.76
381,5532,939,5,2,93335.2
382,97,692,2,19,54133.92
383,3467,440,5,8,83103.6
384,3252,268,3,3,196224.21
385,7604,922,2,15,56016.7
386,870,766,5,11,297059.75
387,2762,649,2,27,60372.46
388,5826,105,1,19,61257.87
389,8985,529,2,17,80475.14
390,8848,283,5,17,36051.05
391,774,653,3,10,110089.8
392,6365,894,1,26,46375.06
393,6791,812,4,17,114330.84
394,195,504,4,28,155528.64
395,5717,68,5,2,64925.0
396,9539,885,1,25,43736.25
397,8543,593,2,27,40005.46
398,7025,6,1,9,40481.35
399,277,177,1,9,23862.93
400,4907,248,2,14,80554.48
401,3627,450,5,21,221397.5
402,4674,352,4,23,15683.36
403,1098,99,2,25,51262.5
404,7371,844,2,15,39953.4
405,5046,455,1,16,40476.24
406,4775,653,4,29,115798.16
407,9590,422,3,4,120542.4
408,4202,207,5,24,272729.8
409,698,283,2,9,15810.34
410,2333,283,4,22,27103.44
411,4865,541,1,8,56899.24
412,6683,745,3,29,137391.39
413,2952,737,4,10,22132.8
414,7296,269,1,2,54954.48
415,5549,651,1,18,38845.04
416,5366,301,3,24,79444.32
417,6896,514,1,23,12205.27
418,8006,291,3,8,172690.44
419,2170,823,3,2,167800.5
420,2820,863,3,17,62018.43
421,9,633,3,10,59953.5
422,6688,249,4,21,64732.6
423,4450,690,3,25,143871.75
424,1108,740,2,3,98049.54
425,5391,471,5,25,67826.25
426,3954,599,2,11,63154.4
427,3413,425,5,12,132875.6
428,9910,265,5,25,98898.75
429,2039,258,5,25,279993.75
430,9900,957,2,9,18398.38
431,9061,356,2,20,121409.6
432,8339,843,2,9,43261.4
433,8522,618,4,7,110465.4
434,796,953,5,28,182894.4
435,4879,206,3,12,145310.88
436,4620,410,2,21,27376.66
437,3888,373,5,3,230704.8
438,7292,35,1,26,9213.74
439,6130,720,1,14,15456.78
440,397,394,3,15,121492.2
441,8056,465,4,21,209602.8
442,4851,734,5,23,175225.05
443,3155,353,2,27,21038.6
444,6463,278,5,21,315221.85
445,7540,549,4,18,48580.08
446,7136,492,1,6,32243.88
447,637,495,3,24,122707.32
448,757,821,3,28,41871.6
449,3067,646,2,3,123570.24
450,8805,889,2,12,33425.92
451,3181,88,3,11,55554.69
452,3659,96,3,11,49491.12
453,8027,114,3,16,86184.0
454,4354,448,1,1,65070.72
455,2067,574,1,23,40913.95
456,5067,434,3,7,110963.88
457,423,725,1,24,55797.68
458,7694,308,2,5,139613.9
459,4893,480,4,8,59792.64
460,2539,991,1,2,22442.98
461,6096,969,3,11,58603.83
462,2112,672,3,26,130227.42
463,43,865,4,26,181519.04
464,3978,14,5,10,185674.5
465,2537,183,2,4,20213.76
466,9862,625,2,29,111120.68
467,3220,994,1,26,58140.32
468,5802,841,5,12,230212.4
469,3444,752,4,0,37088.0
470,6321,541,3,9,168842.31
471,6077,638,5,30,263179.0
472,2290,970,4,5,287378.8
473,8154,310,3,15,127647.9
474,3329,286,3,28,161688.96
475,9255,826,5,24,86993.4
476,2003,19,5,13,285246.9
477,1453,264,4,21,204177.08
478,5701,829,2,4,88206.72
479,6614,67,2,15,83063.7
480,3491,421,1,10,54355.5
481,3672,391,2,11,63590.5
482,1101,567,5,10,353623.5
483,6050,353,4,17,47841.2
484,5389,145,5,4,144067.2
485,4720,276,3,5,106199.55
486,9172,241,5,3,323989.7
487,6905,358,3,13,173846.88
488,3665,646,5,27,232490.4
489,5245,457,5,10,46809.0
490,7022,474,5,5,322026.25
491,9955,593,5,2,134264.9
492,906,68,4,14,45580.0
493,7624,202,2,17,85056.74
494,8286,711,2,6,141282.0
495,1503,751,2,7,107878.14
496,1062,809,2,25,7437.0
497,8870,463,5,12,184368.8
498,3806,999,5,19,110856.6
499,4462,476,3,29,164308.2
500,5227,425,5,18,123815.9
501,6097,156,4,14,274415.68
502,1069,246,1,23,38233.58
503,6882,277,3,18,50161.86
504,8190,372,2,19,48982.32
505,1383,962,4,0,188888.0
506,555,703,1,7,10900.53
507,4571,155,3,22,140720.58
508,7604,854,5,4,244944.0
509,5941,143,3,12,154746.24
510,1381,215,3,30,137909.1
511,2195,522,1,23,35249.83
512,9429,373,2,0,95136.0
513,7790,136,5,3,223948.75
514,825,814,5,8,129186.4
515,5561,768,5,2,272048.0
516,190,224,4,2,305952.08
517,1538,14,4,5,156791.8
518,4308,637,3,17,36139.86
519,6578,489,2,22,102247.08
520,7863,143,5,26,216879.2
521,1502,417,1,29,46144.32
522,5661,622,5,28,77641.2
523,5743,868,1,8,1301.8
524,5073,124,4,22,167962.08
525,4639,174,1,18,34733.56
526,9075,668,3,21,62556.15
527,7033,418,2,21,58485.28
528,4195,808,5,4,258724.8
529,7365,881,5,5,55665.25
530,9640,489,5,27,239231.95
531,175,32,4,24,156915.68
532,6936,999,5,16,114962.4
533,830,805,3,9,215519.85
534,7661,783,2,15,111049.1
535,254,12,4,5,146592.6
536,8128,193,4,12,190945.92
537,8284,393,2,27,29442.36
538,1018,466,4,21,137343.08
539,3363,813,5,13,115897.05
540,2144,376,4,17,112657.56
541,3075,892,4,17,244146.16
542,7453,270,5,14,68443.1
543,8712,308,3,28,158718.96
544,980,224,1,1,77268.51
545,4836,593,3,21,64940.37
546,8653,333,1,14,20150.66
547,8077,35,4,11,44325.56
548,6578,300,2,5,67799.6
549,1848,764,5,28,161712.0
550,6013,794,2,13,10502.64
551,5266,182,5,12,5227.2
552,6589,696,3,9,60133.71
553,3100,606,2,4,67036.8
554,8664,17,5,6,86085.2
555,8169,373,2,18,78011.52
556,3413,811,4,23,183195.32
557,275,887,3,26,26881.98
558,3610,219,2,8,88314.48
559,3498,482,1,25,32031.0
560,1683,428,4,25,80262.0
561,6639,698,5,30,125674.5
562,4025,998,1,22,5555.16
563,9934,299,3,28,53809.92
564,3527,298,3,27,13575.81
565,4213,313,3,20,136723.2
566,1410,413,4,19,30190.32
567,38,589,1,4,64185.6
568,5355,550,5,4,336782.4
569,1982,233,3,3,126529.71
570,8715,300,2,29,50671.28
571,8669,430,1,3,7723.14
572,7231,150,1,3,75534.87
573,3595,809,4,1,19633.68
574,8239,434,4,23,122497.76
575,4027,846,3,29,78360.57
576,9888,547,3,26,19453.86
577,5819,707,2,29,73584.4
578,7139,772,1,13,40697.73
579,3820,860,4,16,118517.28
580,6150,271,5,16,11986.8
581,4211,564,3,23,42735.0
582,7774,521,3,29,52789.92
583,5069,916,2,16,90498.24
584,4659,45,4,18,34577.76
585,4187,531,3,30,32241.3
586,1649,787,4,8,81427.36
587,8095,166,1,17,49065.45
588,530,571,3,4,154722.24
589,7356,248,4,23,144248.72
590,4025,825,3,21,27726.63
591,5459,368,3,16,120503.88
592,8462,676,4,27,133841.12
593,1627,582,3,18,84257.46
594,9567,476,1,22,60169.2
595,5938,856,3,24,103502.88
596,8636,826,2,18,37544.52
597,3139,1000,3,19,115699.59
598,8425,620,5,6,103738.4
599,9610,82,1,21,44932.83
600,5354,57,4,20,96950.4
601,8344,192,2,25,115281.0
602,1387,646,4,20,203827.2
603,2434,659,5,3,101612.35
604,6679,840,1,25,38829.75
605,4842,165,1,2,22003.94
606,2461,342,4,18,230761.12
607,6463,7,1,19,13887.45
608,3673,863,4,4,95642.88
609,8881,377,3,26,171470.58
610,7118,788,3,2,186325.44
611,6255,937,1,16,61272.96
612,2689,771,3,0,110784.0
613,5037,691,2,7,34545.78
614,8919,27,1,1,53997.57
615,7713,388,2,0,134108.0
616,4084,824,2,14,67952.04
617,7805,35,3,0,37353.0
618,2996,707,1,12,45601.6
619,5528,251,4,29,33120.08
620,9308,332,2,30,33383.0
621,7288,51,4,0,218644.0
622,9194,337,4,17,85901.68
623,974,855,2,19,75406.14
624,587,235,3,20,160917.6
625,4437,441,1,2,4905.88
626,3012,707,4,9,188624.8
627,4946,319,5,16,335479.2
628,6918,496,4,28,62714.88
629,3825,344,1,0,19145.0
630,7736,343,4,20,72380.8
631,5982,387,2,12,32039.04
632,1417,209,5,12,53702.0
633,7228,695,2,30,8575.0
634,6325,180,1,23,54724.67
635,7437,858,4,1,208062.36
636,3440,8,5,20,297272.0
637,3527,776,2,5,138088.2
638,7834,642,1,18,29925.08
639,1554,203,1,8,37275.64
640,1782,532,4,12,261015.04
641,8618,40,2,17,6140.34
642,9718,364,2,15,91533.1
643,4551,35,4,24,37851.04
644,4067,993,4,17,175093.48
645,4819,339,1,22,26702.52
646,2734,910,5,9,346659.95
647,7979,962,3,16,118999.44
648,5214,451,3,3,7435.05
649,6380,163,1,24,23690.72
650,4094,365,1,15,12053.85
651,827,97,5,20,89560.0
652,2860,772,1,27,34148.67
653,1125,10,5,27,46807.6
654,9094,393,2,22,31458.96
655,5124,509,2,5,97297.1
656,3439,795,4,25,84441.0
657,8504,141,4,17,124772.24
658,6830,879,2,9,35792.12
659,3999,646,1,24,48408.96
660,7915,725,1,5,69747.1
661,1389,484,1,6,36040.54
662,1811,306,5,24,229573.2
663,7261,475,5,19,39244.5
664,4262,679,1,22,29778.06
665,4426,450,3,5,159742.5
666,6453,311,5,11,36116.2
667,3391,794,3,12,15935.04
668,4493,571,2,1,106371.54
669,6252,723,4,22,46038.72
670,4302,156,3,8,220170.72
671,5359,233,3,27,95223.39
672,9479,35,1,22,9711.78
673,5068,55,3,0,69999.0
674,8693,892,5,14,316213.4
675,105,609,5,29,55752.75
676,3899,259,1,12,28695.92
677,8545,137,5,25,273753.75
678,4986,653,4,26,120691.04
679,4787,178,1,9,20620.6
680,4575,438,4,2,250574.24
681,164,279,2,16,10170.72
682,2638,335,4,14,11420.8
683,7109,909,2,2,104062.28
684,3480,615,5,20,98404.0
685,6903,508,2,15,83752.2
686,2948,310,1,5,47555.1
687,5671,312,5,0,86645.0
688,521,848,1,12,44145.2
689,2374,961,1,30,20587.7
690,7460,865,4,11,218313.44
691,1246,855,1,20,37237.6
692,55,367,4,30,53620.0
693,239,193,3,13,141582.06
694,5295,887,2,11,21554.02
695,1214,303,4,3,242189.6
696,8309,230,1,4,48564.48
697,6674,829,1,8,42265.72
698,4594,352,4,0,20368.0
699,2066,140,3,1,140350.32
700,6904,445,2,11,29127.92
701,7052,789,2,22,93506.4
702,2191,586,2,30,36222.2
703,3953,644,3,0,127977.0
704,4218,673,3,25,118435.5
705,6789,371,1,14,41865.66
706,8593,543,4,21,41377.04
707,6179,784,3,17,100416.72
708,8521,543,5,27,47793.1
709,8633,881,3,20,28125.6
710,6260,58,5,20,249572.0
711,179,422,3,27,91662.45
712,7021,674,5,28,162658.8
713,5630,143,5,28,211017.6
714,9982,818,3,27,157261.71
715,5784,968,4,25,224505.0
716,2389,763,4,1,194895.36
717,303,812,5,6,161853.9
718,4998,904,1,10,66559.5
719,3088,191,1,28,10920.96
720,9203,498,5,9,346073.0
721,3327,976,4,11,98323.64
722,1603,763,2,12,86620.16
723,7603,180,5,4,341140.8
724,932,463,5,30,146657.0
725,4861,772,3,25,105252.75
726,2660,709,5,28,257958.0
727,3696,1,5,19,153090.0
728,5407,869,3,9,114886.59
729,2369,170,2,11,15760.12
730,3733,948,4,0,272284.0
731,309,398,3,11,26665.29
732,610,933,3,5,226905.6
733,8258,138,2,25,25243.5
734,9894,458,4,27,80177.36
735,9659,472,3,22,67670.46
736,6411,326,2,13,20396.28
737,6468,650,3,17,122286.39
738,207,799,2,28,55733.76
739,4602,261,3,2,233918.16
740,4706,299,1,10,22420.8
741,3324,541,5,12,272126.8
742,4356,344,2,3,37141.3
743,8411,20,1,4,75171.84
744,5279,396,2,15,25916.5
745,1995,938,1,15,42551.85
746,9642,361,5,6,307365.9
747,7765,416,2,14,132885.48
748,6237,788,1,12,55770.88
749,615,651,2,26,70110.56
750,9153,415,3,3,74309.76
751,4381,458,3,1,81550.26
752,5329,803,4,30,181202.0
753,3527,101,3,20,49140.0
754,8679,564,3,27,40515.0
755,7307,894,3,25,141005.25
756,1351,479,2,4,119137.92
757,1956,724,1,9,70006.3
758,2408,324,3,18,137912.52
759,4152,812,5,23,132582.45
760,4263,439,3,5,191577.0
761,7191,522,3,28,98882.64
762,5109,928,5,22,236554.5
763,7217,100,2,14,100270.84
764,5205,618,3,1,88194.15
765,7294,919,5,25,245775.0
766,2409,103,2,7,5531.64
767,4108,946,3,16,31111.92
768,9283,93,5,16,121598.4
769,4549,306,3,11,161305.38
770,7434,873,2,3,37719.42
771,8221,67,4,25,146583.0
772,2671,294,1,28,27736.56
773,7724,424,2,3,24308.2
774,4417,437,3,12,151353.84
775,6096,488,2,6,20826.64
776,352,561,5,24,46994.6
777,8402,238,4,27,119200.24
778,1470,263,1,4,30056.64
779,2981,996,1,30,24591.0
780,9751,717,1,15,4538.15
781,4153,18,3,2,147626.22
782,3573,71,5,2,256539.5
783,920,824,3,8,109039.32
784,1208,603,1,1,20342.52
785,7312,719,2,11,17744.82
786,6096,496,3,26,48342.72
787,4117,753,2,13,3125.04
788,1220,72,1,19,3713.04
789,2676,315,3,0,8676.0
790,4634,515,4,14,86732.72
791,5280,740,5,10,227434.5
792,749,373,5,26,176001.6
793,5722,788,4,6,238293.76
794,141,455,2,3,93480.84
795,3503,627,2,18,86582.16
796,3740,301,5,1,172477.8
797,3169,351,4,12,262215.36
798,1098,452,3,12,208480.8
799,4213,170,2,28,12749.76
800,7188,22,3,2,12136.32
801,4683,410,4,18,56832.56
802,7538,884,1,8,55262.56
803,179,563,1,2,33336.66
804,7563,231,2,7,125332.38
805,8191,782,1,25,24197.25
806,4050,939,3,23,44000.88
807,5315,166,5,22,230548.5
808,7119,982,3,12,169950.0
809,1916,386,2,22,66861.6
810,1891,961,3,7,82056.69
811,9205,213,1,16,63543.48
812,9123,697,3,1,111309.66
813,1067,844,2,9,42773.64
814,916,828,5,4,182462.4
815,5311,797,5,22,222756.3
816,5091,850,5,0,103850.0
817,4076,281,2,15,47083.2
818,3272,160,2,19,45564.12
819,9960,662,2,29,15994.88
820,704,712,2,20,96859.2
821,4469,289,4,1,225129.96
822,417,420,5,9,304194.8
823,3325,891,1,11,10332.01
824,8746,920,5,16,221907.0
825,5775,667,3,14,81708.6
826,9672,147,3,23,177338.7
827,4162,478,1,17,52076.69
828,3659,68,2,10,23850.0
829,9034,175,4,12,64482.88
830,3364,392,1,26,49844.92
831,689,155,5,13,261595.95
832,9718,312,5,7,80579.85
833,4711,862,3,1,133970.76
834,2345,864,2,13,132384.42
835,2578,521,2,14,42628.48
836,8012,377,2,21,122037.62
837,2336,864,4,25,228249.0
838,8845,678,4,25,185433.0
839,5062,244,3,7,37296.72
840,1962,903,3,10,32499.9
841,4856,205,4,27,162728.68
842,7629,250,1,7,59579.52
843,6081,902,1,22,6864.78
844,7963,310,4,2,196227.36
845,8319,135,2,16,95731.44
846,7053,383,1,28,30823.92
847,2616,376,1,0,33933.0
848,399,972,5,9,8549.45
849,2238,618,3,0,89085.0
850,179,493,2,1,31790.88
851,8548,8,1,7,69115.74
852,6469,628,4,4,286978.56
853,4874,524,2,7,91575.24
854,6723,726,1,3,63764.89
855,2208,68,4,9,48230.0
856,5398,174,3,16,106742.16
857,1782,550,5,10,315733.5
858,213,153,4,14,225722.48
859,8237,552,2,23,50669.08
860,3654,50,5,8,52067.4
861,9172,71,4,23,161253.4
862,9834,844,2,27,34312.92
863,3628,832,3,17,3630.42
864,3712,806,2,18,117876.64
865,4486,576,3,20,53524.8
866,2913,406,3,21,51789.24
867,4536,586,2,10,46571.4
868,6494,86,4,23,153984.6
869,258,300,5,0,178420.0
870,1633,250,1,18,52532.48
871,8974,231,5,29,239209.65
872,8496,520,4,12,215110.72
873,939,568,2,18,17152.76
874,7318,818,5,11,319550.05
875,7127,587,1,1,65713.23
876,278,486,5,30,249830.0
877,1115,261,5,26,294386.8
