order_id,customer_id,order_date,order_status,total_amount,payment_status
49,998,2025-03-31,Confirmed,17219,Failed
50,236,2024-07-22,Pending,13730,Failed
51,495,2025-11-01,Pending,33805,Paid
52,985,2024-08-07,Cancelled,38018,Failed
53,614,2024-08-20,Delivered,5662,Refunded
54,819,2026-01-18,Delivered,19350,Refunded
55,497,2025-10-06,Pending,30223,Failed
56,489,2024-10-05,Cancelled,10386,Refunded
57,95,2025-03-20,Pending,29569,Pending
58,342,2026-01-23,Cancelled,17268,Pending
59,199,2025-12-19,Pending,33240,Pending
60,390,2025-12-17,Delivered,5237,Refunded
61,16,2026-01-10,Pending,43208,Pending
62,444,2026-03-17,Shipped,21192,Failed
63,500,2025-06-25,Shipped,30947,Failed
64,592,2024-10-21,Shipped,33088,Pending
65,688,2025-08-24,Pending,8790,Failed
66,257,2026-02-25,Delivered,37892,Paid
67,518,2025-08-28,Delivered,28233,Refunded
68,780,2025-01-28,Confirmed,39744,Pending
69,822,2025-07-24,Pending,25362,Pending
70,308,2026-05-20,Cancelled,9500,Refunded
71,969,2026-06-07,Cancelled,43627,Failed
72,598,2025-04-11,Returned,30587,Pending
73,811,2025-11-20,Pending,41588,Pending
74,369,2026-01-11,Pending,4188,Refunded
75,297,2026-01-27,Returned,17669,Failed
76,558,2026-06-05,Confirmed,23916,Failed
77,96,2025-05-18,Returned,30558,Paid
78,275,2024-08-22,Shipped,24803,Paid
79,943,2025-12-08,Cancelled,22801,Paid
80,732,2025-03-01,Confirmed,42353,Paid
81,798,2025-03-11,Shipped,22486,Paid
82,595,2025-06-06,Delivered,29150,Pending
83,373,2025-07-16,Pending,23565,Pending
84,883,2026-03-04,Returned,36153,Paid
85,312,2026-03-14,Shipped,5764,Paid
86,236,2026-07-11,Delivered,20756,Paid
87,61,2025-03-08,Cancelled,11757,Pending
88,516,2026-07-03,Pending,18357,Pending
89,146,2025-08-22,Returned,13508,Pending
90,981,2026-02-16,Returned,17494,Failed
91,901,2025-08-18,Returned,47369,Pending
92,200,2025-10-15,Cancelled,35352,Pending
93,601,2025-07-05,Delivered,9240,Pending
94,576,2025-08-31,Cancelled,9189,Failed
95,986,2026-05-24,Pending,1322,Refunded
96,597,2025-10-28,Pending,23489,Paid
97,350,2026-07-15,Shipped,30586,Failed
98,738,2026-05-17,Shipped,4349,Pending
99,686,2025-01-11,Shipped,48258,Refunded
100,946,2024-11-12,Shipped,11932,Failed
101,189,2026-04-07,Returned,45009,Failed
102,832,2024-09-03,Shipped,39795,Refunded
103,921,2024-12-18,Cancelled,7217,Paid
104,49,2026-02-26,Pending,26536,Refunded
105,987,2025-10-13,Cancelled,18951,Refunded
106,859,2026-02-21,Shipped,11443,Pending
107,608,2025-07-14,Cancelled,16235,Failed
108,817,2025-08-21,Cancelled,19192,Refunded
109,98,2025-11-17,Delivered,3557,Failed
110,293,2025-10-30,Cancelled,44561,Refunded
111,838,2025-04-12,Pending,48818,Refunded
112,87,2025-12-13,Cancelled,38040,Pending
113,688,2025-10-08,Confirmed,40071,Paid
114,248,2025-06-15,Delivered,13513,Refunded
115,355,2025-07-20,Shipped,10686,Failed
116,77,2025-09-16,Confirmed,25415,Paid
117,631,2025-01-28,Confirmed,45038,Paid
118,54,2026-04-14,Pending,22120,Pending
119,522,2025-07-14,Delivered,22943,Failed
120,360,2026-03-19,Delivered,3002,Paid
121,8,2025-03-26,Returned,48793,Failed
122,350,2025-12-08,Confirmed,9631,Refunded
123,96,2025-02-09,Returned,46561,Pending
124,114,2024-09-17,Shipped,32453,Pending
125,6,2025-04-21,Delivered,45811,Failed
126,10,2024-12-10,Delivered,16669,Failed
127,685,2025-05-05,Confirmed,29000,Paid
128,323,2024-10-10,Confirmed,6251,Refunded
129,653,2025-04-07,Confirmed,37230,Paid
130,7,2025-12-29,Shipped,2809,Failed
131,289,2025-04-26,Delivered,21082,Pending
132,682,2025-11-09,Delivered,49647,Refunded
133,971,2026-04-16,Shipped,30259,Pending
134,563,2024-10-01,Cancelled,45286,Paid
135,25,2026-02-24,Confirmed,1304,Pending
136,714,2026-01-05,Returned,40771,Refunded
137,155,2024-09-07,Shipped,30946,Refunded
138,237,2025-09-14,Confirmed,25844,Paid
139,731,2025-07-20,Pending,18372,Failed
140,562,2025-09-26,Confirmed,35130,Paid
141,422,2025-05-01,Returned,13948,Pending
142,199,2025-06-21,Returned,40059,Refunded
143,758,2024-07-19,Delivered,19396,Paid
144,414,2026-06-19,Delivered,26927,Failed
145,500,2026-03-21,Returned,43717,Refunded
146,859,2025-12-10,Cancelled,44447,Refunded
147,849,2026-03-12,Shipped,39870,Failed
148,159,2025-05-23,Pending,41005,Refunded
149,265,2026-01-21,Returned,44878,Failed
150,507,2026-04-18,Cancelled,3113,Pending
151,578,2026-05-20,Confirmed,11651,Refunded
152,975,2026-06-22,Returned,17908,Pending
153,224,2025-05-29,Confirmed,31458,Pending
154,243,2024-10-19,Returned,4484,Failed
155,737,2026-01-16,Shipped,27629,Failed
156,706,2025-11-12,Delivered,13317,Refunded
157,550,2025-03-02,Returned,35319,Paid
158,251,2024-09-07,Pending,8020,Paid
159,887,2025-07-05,Shipped,43854,Failed
160,854,2026-07-07,Confirmed,36586,Refunded
161,985,2024-09-22,Confirmed,42750,Paid
162,61,2025-12-28,Pending,8986,Pending
163,805,2024-08-18,Pending,28678,Failed
164,898,2026-01-27,Pending,46328,Paid
165,471,2025-06-07,Cancelled,31491,Paid
166,676,2025-02-03,Delivered,36024,Paid
167,984,2025-01-03,Pending,47849,Paid
168,189,2025-07-24,Delivered,25729,Paid
169,743,2026-05-16,Returned,17399,Failed
170,1000,2024-08-05,Delivered,14749,Refunded
171,549,2025-09-02,Cancelled,43619,Paid
172,857,2024-07-21,Delivered,35548,Paid
173,989,2026-05-03,Confirmed,9740,Failed
174,483,2025-05-24,Cancelled,28826,Pending
175,91,2026-07-13,Returned,16176,Pending
176,139,2025-08-11,Delivered,48279,Refunded
177,831,2024-11-18,Pending,17783,Failed
178,802,2025-10-14,Shipped,45348,Paid
179,748,2025-12-10,Cancelled,21177,Failed
180,950,2025-10-09,Delivered,31148,Pending
181,875,2025-12-09,Delivered,47553,Failed
182,167,2026-04-22,Delivered,20789,Refunded
183,687,2025-09-29,Confirmed,1988,Failed
184,61,2025-01-01,Shipped,6691,Paid
185,72,2025-08-06,Pending,19736,Pending
186,373,2025-07-21,Cancelled,32347,Failed
187,590,2025-10-12,Shipped,23953,Refunded
188,557,2025-10-12,Confirmed,37942,Refunded
189,217,2024-10-19,Returned,30045,Paid
190,676,2026-05-05,Cancelled,18354,Refunded
191,430,2025-05-08,Delivered,1200,Failed
192,753,2025-03-08,Confirmed,8183,Refunded
193,892,2026-01-09,Cancelled,8760,Pending
194,643,2026-02-06,Cancelled,44771,Refunded
195,594,2026-01-08,Returned,27553,Failed
196,719,2025-07-11,Shipped,41926,Failed
197,375,2024-11-27,Returned,5920,Paid
198,736,2024-10-18,Confirmed,16225,Paid
199,227,2025-01-01,Cancelled,46784,Refunded
200,967,2024-11-03,Pending,16318,Paid
201,826,2024-10-06,Cancelled,3166,Refunded
202,870,2025-10-16,Pending,14636,Refunded
203,637,2026-07-09,Returned,44506,Paid
204,341,2024-09-20,Cancelled,3371,Refunded
205,583,2025-09-22,Shipped,39738,Pending
206,808,2025-02-12,Delivered,13704,Failed
207,166,2024-11-07,Delivered,4082,Pending
208,177,2024-09-05,Cancelled,14329,Failed
209,204,2024-12-25,Delivered,35205,Refunded
210,542,2024-10-28,Confirmed,15483,Paid
211,51,2026-05-06,Returned,43652,Refunded
212,793,2026-02-08,Cancelled,24117,Paid
213,205,2026-01-01,Shipped,40170,Refunded
214,645,2025-08-11,Cancelled,34195,Paid
215,604,2025-08-22,Cancelled,14510,Pending
216,661,2025-11-01,Returned,37609,Refunded
217,57,2025-02-06,Confirmed,18412,Paid
218,11,2026-06-14,Pending,23959,Refunded
219,852,2025-07-14,Cancelled,28303,Paid
220,762,2026-06-13,Shipped,46418,Refunded
221,63,2025-11-20,Shipped,29631,Refunded
222,778,2025-01-11,Delivered,44277,Pending
223,509,2026-04-13,Delivered,509,Failed
224,200,2026-01-05,Shipped,46308,Pending
225,688,2025-10-30,Shipped,9389,Pending
226,655,2026-01-11,Pending,44516,Paid
227,150,2025-09-29,Delivered,45523,Refunded
228,781,2025-05-31,Returned,34956,Paid
229,508,2025-10-18,Confirmed,42283,Pending
230,876,2025-11-10,Cancelled,6391,Failed
231,980,2024-08-08,Delivered,34247,Failed
232,489,2024-08-08,Returned,32233,Refunded
233,129,2025-02-16,Shipped,40318,Failed
234,552,2024-08-10,Confirmed,10614,Pending
235,855,2025-02-09,Shipped,13384,Refunded
236,298,2025-09-08,Cancelled,2544,Refunded
237,737,2025-07-22,Cancelled,17460,Paid
238,326,2025-09-22,Confirmed,43400,Failed
239,930,2025-05-30,Pending,47028,Pending
240,993,2025-01-25,Confirmed,10687,Refunded
241,87,2025-08-24,Cancelled,5404,Refunded
242,306,2025-11-06,Cancelled,17828,Refunded
243,546,2024-07-18,Delivered,5253,Paid
244,447,2025-05-10,Shipped,23499,Pending
245,241,2025-05-13,Shipped,49797,Paid
246,493,2024-09-09,Shipped,32993,Failed
247,798,2025-11-29,Pending,14869,Paid
248,819,2025-03-27,Delivered,49108,Refunded
249,196,2025-02-24,Cancelled,32415,Refunded
250,5,2025-12-07,Delivered,29777,Refunded
251,703,2025-05-18,Confirmed,27213,Failed
252,465,2025-09-03,Delivered,19803,Refunded
253,174,2026-06-16,Delivered,1098,Paid
254,954,2025-01-24,Delivered,46326,Pending
255,1,2025-09-14,Returned,14270,Pending
256,71,2026-03-27,Confirmed,7307,Paid
257,131,2025-11-23,Cancelled,31002,Pending
258,861,2026-04-03,Pending,44486,Pending
259,704,2024-12-05,Shipped,36633,Pending
260,320,2025-08-07,Confirmed,34916,Paid
261,31,2024-07-18,Confirmed,5960,Failed
262,376,2024-11-15,Shipped,37040,Refunded
263,146,2026-03-28,Shipped,35015,Pending
264,223,2026-06-21,Delivered,20909,Pending
265,943,2024-10-21,Delivered,13884,Pending
266,748,2024-09-22,Delivered,6629,Refunded
267,718,2024-08-28,Confirmed,5795,Paid
268,610,2024-09-14,Pending,14159,Paid
269,931,2024-07-28,Confirmed,43351,Failed
270,304,2024-08-05,Shipped,43868,Paid
271,925,2025-11-17,Shipped,44070,Refunded
272,9,2025-12-21,Shipped,38013,Failed
273,92,2024-10-19,Shipped,45243,Pending
274,313,2025-06-15,Cancelled,44802,Failed
275,435,2025-11-07,Cancelled,39765,Failed
276,94,2025-03-26,Delivered,44139,Failed
277,131,2025-10-10,Confirmed,48662,Refunded
278,725,2025-01-04,Delivered,30540,Failed
279,450,2025-05-18,Delivered,18418,Failed
280,30,2025-05-03,Returned,36228,Pending
281,825,2025-03-15,Shipped,28023,Refunded
282,350,2024-11-27,Confirmed,22143,Paid
283,619,2025-12-24,Cancelled,21368,Failed
284,905,2025-10-31,Shipped,37877,Refunded
285,59,2025-10-21,Confirmed,1449,Pending
286,731,2025-04-24,Shipped,25391,Paid
287,965,2024-10-01,Confirmed,11267,Failed
288,365,2025-06-30,Cancelled,36435,Refunded
289,515,2026-03-20,Confirmed,48860,Pending
290,463,2025-04-26,Cancelled,13592,Paid
291,885,2024-12-08,Delivered,13921,Failed
292,168,2026-05-29,Shipped,533,Failed
293,209,2025-05-14,Confirmed,22567,Refunded
294,294,2025-07-11,Cancelled,8463,Refunded
295,745,2025-10-30,Delivered,22690,Pending
296,463,2025-12-15,Shipped,26365,Paid
297,459,2024-11-30,Shipped,47600,Refunded
298,859,2026-03-11,Pending,46810,Refunded
299,940,2025-05-29,Returned,27222,Pending
300,565,2026-04-18,Pending,26409,Failed
301,875,2024-07-16,Returned,42446,Failed
302,672,2025-09-14,Returned,10007,Pending
303,568,2025-05-18,Confirmed,16788,Pending
304,952,2025-09-27,Shipped,20655,Paid
305,631,2024-07-31,Cancelled,41509,Refunded
306,654,2026-02-04,Cancelled,9220,Paid
307,444,2025-04-14,Cancelled,12207,Failed
308,853,2025-09-28,Pending,17011,Paid
309,543,2025-03-22,Confirmed,14012,Pending
310,652,2026-02-25,Cancelled,13959,Refunded
311,798,2026-01-08,Pending,15058,Paid
312,508,2025-04-29,Shipped,21082,Refunded
313,671,2026-02-01,Shipped,26050,Refunded
314,967,2025-04-06,Delivered,8402,Paid
315,906,2024-08-03,Delivered,38284,Failed
316,217,2026-06-19,Shipped,34684,Pending
317,494,2025-09-20,Cancelled,26347,Failed
318,950,2025-09-25,Confirmed,47670,Refunded
319,720,2025-09-29,Shipped,13658,Paid
320,768,2025-03-09,Confirmed,25638,Pending
321,457,2026-01-12,Confirmed,46564,Pending
322,49,2025-08-24,Confirmed,32526,Failed
323,499,2025-01-22,Returned,966,Pending
324,199,2026-06-16,Pending,2763,Failed
325,703,2024-09-02,Confirmed,10288,Refunded
326,81,2025-01-27,Shipped,6648,Failed
327,61,2025-01-18,Returned,49448,Pending
328,707,2024-09-19,Shipped,16375,Failed
329,683,2026-02-03,Confirmed,31666,Failed
330,428,2025-02-21,Returned,25063,Refunded
331,602,2025-02-28,Delivered,2009,Failed
332,961,2025-12-24,Pending,5478,Failed
333,448,2025-10-12,Cancelled,21993,Paid
334,823,2026-04-28,Shipped,34134,Failed
335,662,2026-04-12,Cancelled,1208,Paid
336,475,2024-11-11,Pending,24820,Pending
337,565,2024-11-06,Shipped,7955,Paid
338,646,2026-03-07,Pending,48830,Refunded
339,421,2025-04-19,Cancelled,11053,Paid
340,44,2025-06-21,Cancelled,16106,Failed
341,419,2025-09-07,Returned,2574,Paid
342,380,2026-04-03,Shipped,1729,Pending
343,922,2025-01-01,Cancelled,39101,Pending
344,132,2024-09-24,Pending,8531,Refunded
345,106,2024-09-18,Confirmed,15020,Refunded
346,245,2026-01-20,Returned,17849,Paid
347,451,2025-10-22,Shipped,9489,Refunded
348,175,2025-11-19,Shipped,23977,Failed
349,7,2024-10-31,Returned,7763,Pending
350,263,2025-11-17,Returned,39999,Failed
351,384,2026-01-16,Pending,45899,Paid
352,629,2026-05-17,Returned,16964,Failed
353,237,2026-02-04,Shipped,24401,Refunded
354,829,2026-06-17,Shipped,15927,Pending
355,545,2025-07-09,Pending,31652,Pending
356,95,2025-07-14,Confirmed,10232,Refunded
357,318,2024-08-07,Delivered,32419,Pending
358,14,2025-09-13,Returned,48416,Paid
359,23,2025-08-21,Returned,47264,Refunded
360,403,2026-01-24,Delivered,46423,Failed
361,304,2024-09-28,Confirmed,15842,Failed
362,117,2024-10-08,Pending,28129,Refunded
363,155,2025-02-02,Pending,4398,Failed
364,161,2025-08-06,Pending,22823,Refunded
365,899,2026-02-09,Delivered,4720,Refunded
366,232,2026-01-22,Confirmed,33670,Paid
367,353,2024-12-23,Delivered,3956,Failed
368,161,2026-03-19,Returned,4783,Failed
369,638,2025-02-27,Confirmed,37706,Paid
370,286,2026-04-10,Delivered,36251,Failed
371,294,2025-12-04,Cancelled,7874,Failed
372,32,2025-12-02,Confirmed,13468,Paid
373,837,2026-05-15,Delivered,8608,Refunded
374,649,2025-07-23,Delivered,19810,Paid
375,896,2025-09-30,Returned,10081,Paid
376,325,2026-01-29,Cancelled,35162,Failed
377,715,2025-11-05,Confirmed,46271,Pending
378,876,2024-10-07,Shipped,5470,Pending
379,965,2025-02-23,Pending,41269,Refunded
380,690,2026-05-17,Returned,1429,Paid
381,125,2025-01-08,Returned,28576,Refunded
382,742,2024-10-27,Pending,47335,Pending
383,778,2025-04-24,Returned,26920,Refunded
384,1000,2025-09-07,Shipped,7814,Refunded
385,903,2025-10-15,Delivered,7716,Pending
386,811,2026-07-02,Cancelled,6016,Failed
387,867,2025-03-12,Cancelled,15221,Pending
388,773,2024-08-05,Pending,4897,Refunded
389,346,2026-05-03,Cancelled,38514,Paid
390,55,2025-08-21,Confirmed,26332,Pending
391,289,2025-10-12,Cancelled,40101,Failed
392,781,2025-11-03,Pending,16747,Pending
393,300,2026-06-14,Confirmed,29180,Failed
394,364,2025-02-12,Shipped,30696,Paid
395,138,2025-02-13,Returned,26133,Paid
396,550,2025-11-20,Delivered,17745,Pending
397,560,2026-01-19,Cancelled,6283,Paid
398,471,2026-04-24,Cancelled,13933,Refunded
399,80,2026-02-01,Shipped,5838,Paid
400,103,2025-04-24,Shipped,46758,Paid
401,959,2024-12-05,Returned,17364,Paid
402,950,2025-01-21,Shipped,41237,Pending
403,658,2026-07-05,Pending,38649,Failed
404,859,2025-12-07,Delivered,23878,Refunded
405,291,2026-03-31,Confirmed,16855,Failed
406,769,2024-11-27,Delivered,30170,Failed
407,704,2024-07-28,Pending,27023,Refunded
408,404,2024-12-28,Cancelled,15334,Pending
409,318,2025-06-16,Cancelled,16593,Paid
410,232,2026-07-08,Delivered,40719,Failed
411,259,2025-12-26,Confirmed,19867,Refunded
412,905,2026-02-20,Cancelled,12553,Pending
413,298,2026-06-21,Confirmed,11162,Paid
414,203,2026-06-14,Shipped,7237,Paid
415,558,2025-05-21,Returned,17835,Failed
416,652,2025-04-15,Shipped,24915,Paid
417,991,2024-10-20,Returned,13626,Paid
418,972,2026-07-12,Returned,10473,Refunded
419,90,2024-08-26,Confirmed,22523,Refunded
420,438,2026-03-06,Shipped,10029,Refunded
421,269,2025-04-02,Delivered,38932,Failed
422,863,2025-07-31,Shipped,16419,Failed
423,946,2025-07-07,Confirmed,27765,Paid
424,436,2024-09-01,Delivered,2924,Refunded
425,333,2026-05-02,Cancelled,34956,Paid
426,353,2024-09-23,Shipped,38117,Failed
427,189,2025-04-07,Returned,5384,Pending
428,346,2026-05-22,Shipped,30569,Pending
429,64,2025-11-19,Confirmed,13605,Pending
430,82,2025-06-10,Cancelled,39749,Pending
431,382,2025-09-19,Delivered,16024,Failed
432,919,2025-02-17,Pending,13706,Failed
433,151,2025-01-25,Pending,26954,Paid
434,660,2025-11-08,Confirmed,4568,Refunded
435,598,2024-07-22,Delivered,44456,Pending
436,165,2025-03-05,Delivered,6509,Refunded
437,176,2025-03-08,Pending,2995,Refunded
438,465,2024-10-15,Pending,12299,Paid
439,548,2026-02-19,Returned,17570,Paid
440,856,2025-12-17,Pending,22255,Failed
441,197,2025-05-30,Cancelled,22934,Pending
442,621,2024-12-01,Confirmed,17968,Failed
443,913,2025-08-20,Shipped,9195,Refunded
444,390,2025-04-11,Pending,17604,Failed
445,991,2024-09-03,Confirmed,34673,Paid
446,455,2025-06-11,Pending,15581,Paid
447,973,2025-09-24,Delivered,4423,Failed
448,607,2025-01-25,Pending,45112,Refunded
449,332,2025-11-16,Pending,44979,Failed
450,852,2024-09-06,Cancelled,35385,Paid
451,839,2025-04-18,Delivered,4680,Failed
452,238,2024-10-27,Returned,13737,Failed
453,359,2026-01-05,Confirmed,48570,Paid
454,387,2025-12-27,Delivered,36759,Pending
455,227,2025-08-07,Returned,41632,Pending
456,496,2025-07-13,Pending,41342,Pending
457,267,2025-12-03,Shipped,18549,Refunded
458,314,2025-11-13,Returned,16078,Pending
459,479,2026-03-20,Cancelled,48099,Pending
460,915,2024-10-19,Returned,47513,Failed
461,308,2025-06-29,Shipped,15920,Pending
462,855,2026-03-25,Returned,16338,Failed
463,989,2025-07-20,Pending,2507,Refunded
464,833,2024-07-19,Confirmed,4700,Pending
465,399,2024-09-15,Shipped,5250,Refunded
466,803,2024-08-01,Confirmed,40765,Failed
467,14,2025-08-19,Shipped,5818,Pending
468,925,2025-01-11,Shipped,45706,Failed
469,544,2025-09-12,Pending,48807,Failed
470,991,2025-11-02,Pending,16111,Failed
471,881,2026-03-23,Confirmed,14572,Refunded
472,603,2024-07-16,Pending,1244,Pending
473,766,2025-07-07,Returned,31905,Failed
474,395,2025-10-26,Returned,19386,Failed
475,572,2024-07-29,Shipped,36927,Pending
476,670,2026-01-17,Cancelled,21613,Pending
477,925,2025-07-12,Cancelled,9213,Refunded
478,619,2025-05-27,Confirmed,12295,Failed
479,215,2025-09-30,Delivered,5252,Pending
480,478,2025-12-02,Pending,29625,Paid
481,836,2026-05-27,Shipped,23611,Refunded
482,772,2025-01-17,Cancelled,11778,Paid
483,981,2025-12-20,Cancelled,49100,Paid
484,407,2025-10-31,Returned,15252,Paid
485,969,2024-09-22,Shipped,9890,Pending
486,842,2025-02-06,Delivered,30801,Pending
487,969,2025-04-19,Returned,4146,Pending
488,370,2025-07-09,Returned,43572,Failed
489,209,2026-06-12,Confirmed,6579,Pending
490,753,2026-02-11,Shipped,34142,Failed
491,897,2026-01-11,Returned,27596,Failed
492,974,2025-04-03,Confirmed,10033,Pending
493,575,2026-03-20,Shipped,23549,Pending
494,195,2025-04-17,Pending,48162,Refunded
495,463,2025-06-26,Pending,33548,Paid
496,512,2024-08-13,Returned,29580,Refunded
497,276,2025-07-26,Cancelled,39959,Failed
498,397,2025-02-08,Confirmed,33785,Refunded
499,199,2026-04-01,Pending,20602,Failed
500,858,2026-01-20,Returned,9874,Paid
501,868,2025-07-27,Confirmed,6927,Paid
502,600,2026-05-03,Pending,38068,Failed
503,910,2026-01-16,Returned,13338,Paid
504,812,2026-06-27,Pending,9477,Pending
505,641,2024-09-13,Shipped,49332,Pending
506,352,2025-03-05,Pending,46435,Paid
507,687,2024-11-20,Pending,6130,Pending
508,259,2025-03-06,Shipped,18344,Paid
509,211,2025-02-15,Returned,47502,Failed
510,890,2025-11-14,Cancelled,30143,Failed
511,610,2025-05-04,Cancelled,47249,Paid
512,481,2025-04-27,Cancelled,41802,Refunded
513,778,2026-03-30,Confirmed,37629,Pending
514,603,2025-12-03,Pending,46461,Paid
515,851,2025-09-12,Confirmed,29369,Pending
516,267,2025-02-17,Cancelled,36739,Paid
517,997,2026-04-29,Confirmed,7724,Pending
518,10,2026-04-29,Cancelled,23428,Failed
519,117,2026-05-10,Cancelled,7591,Refunded
520,625,2026-06-07,Cancelled,27236,Refunded
521,133,2024-08-25,Delivered,1351,Paid
522,28,2025-05-11,Pending,8369,Paid
523,608,2025-11-21,Confirmed,47758,Failed
524,376,2025-03-24,Shipped,34729,Failed
525,543,2025-07-13,Returned,1642,Refunded
526,632,2024-10-24,Delivered,32005,Pending
527,674,2025-05-16,Returned,21828,Refunded
528,512,2024-10-29,Cancelled,26359,Paid
529,746,2026-06-21,Confirmed,45789,Refunded
530,217,2024-12-02,Shipped,3953,Pending
531,887,2024-12-20,Pending,39157,Paid
532,680,2025-10-17,Cancelled,47307,Failed
533,168,2024-09-09,Delivered,4055,Failed
534,185,2024-12-26,Delivered,15380,Refunded
535,41,2025-04-06,Returned,23171,Refunded
536,188,2025-01-14,Confirmed,18988,Pending
537,231,2026-06-04,Returned,47673,Paid
538,920,2024-09-19,Delivered,40697,Pending
539,519,2024-08-18,Delivered,29523,Failed
540,748,2026-03-18,Pending,31536,Paid
541,436,2026-05-19,Cancelled,22360,Paid
542,110,2024-08-24,Confirmed,12682,Failed
543,482,2025-07-16,Cancelled,14343,Pending
544,74,2024-08-22,Shipped,12752,Pending
545,399,2024-09-21,Cancelled,5384,Refunded
546,471,2025-12-12,Cancelled,31359,Pending
547,377,2025-04-03,Shipped,14956,Pending
548,956,2025-08-05,Confirmed,1088,Failed
549,719,2024-07-31,Delivered,31178,Refunded
550,716,2025-07-05,Delivered,22120,Failed
551,864,2025-06-26,Pending,24943,Pending
552,237,2024-09-14,Pending,28952,Failed
553,645,2025-05-10,Returned,24636,Paid
554,765,2025-01-28,Delivered,48682,Pending
555,651,2024-10-31,Pending,49021,Paid
556,280,2026-02-28,Shipped,30390,Paid
557,273,2026-06-24,Delivered,26391,Paid
558,861,2024-07-15,Confirmed,10414,Refunded
559,917,2025-12-24,Cancelled,10751,Refunded
560,733,2026-02-06,Cancelled,1108,Pending
561,809,2025-11-11,Delivered,8406,Refunded
562,882,2024-12-05,Shipped,33318,Paid
563,26,2025-05-31,Delivered,16916,Refunded
564,4,2025-07-02,Pending,11315,Pending
565,320,2025-08-15,Delivered,38249,Paid
566,244,2025-02-04,Pending,28638,Paid
567,56,2025-08-11,Cancelled,12572,Failed
568,461,2024-08-08,Cancelled,49227,Pending
569,49,2024-08-13,Pending,4232,Refunded
570,363,2025-03-18,Returned,1362,Refunded
571,100,2025-04-11,Delivered,28872,Failed
572,977,2025-01-09,Returned,36624,Paid
573,207,2025-11-28,Returned,6385,Refunded
574,325,2024-07-28,Returned,37470,Failed
575,617,2025-09-24,Pending,4442,Pending
576,699,2026-05-16,Delivered,21558,Paid
577,87,2025-11-13,Shipped,2007,Paid
578,245,2025-01-20,Shipped,1459,Refunded
579,176,2026-06-30,Returned,13024,Failed
580,289,2025-08-24,Cancelled,43965,Failed
581,526,2025-10-28,Confirmed,6220,Pending
582,5,2024-12-16,Delivered,608,Failed
583,932,2026-06-07,Confirmed,13516,Paid
584,537,2024-11-23,Pending,16712,Refunded
585,859,2024-11-29,Cancelled,10988,Refunded
586,625,2024-09-04,Delivered,43224,Paid
587,923,2025-10-04,Pending,15872,Paid
588,97,2025-11-02,Confirmed,37566,Paid
589,950,2026-04-18,Pending,35594,Paid
590,857,2025-04-23,Confirmed,31603,Failed
591,91,2026-06-03,Cancelled,24763,Refunded
592,617,2024-11-30,Delivered,15790,Failed
593,213,2025-04-22,Pending,33660,Pending
594,244,2026-02-27,Delivered,11735,Failed
595,538,2025-09-10,Shipped,32206,Failed
596,277,2026-02-24,Cancelled,46233,Refunded
597,612,2025-11-23,Confirmed,46109,Pending
598,459,2025-01-20,Pending,46605,Refunded
599,398,2025-06-04,Shipped,4184,Paid
